ProblemSize,MyHashTable,JavaHashMap,Ratio
1000,0.050,0.030,1.65
5000,0.043,0.087,0.50
10000,0.079,0.058,1.35
50000,0.422,0.244,1.73
100000,1.137,0.577,1.97
