ProblemSize,MyHashTable,JavaHashMap,Ratio
1000,0.099,0.026,3.77
5000,0.138,0.032,4.33
10000,0.253,0.044,5.78
50000,2.545,0.222,11.47
100000,5.648,0.597,9.45
