ProblemSize,MyHashTable,JavaHashMap,Ratio
1000,0.079,0.027,2.97
5000,0.181,0.035,5.20
10000,0.299,0.038,7.94
50000,2.871,0.213,13.45
100000,5.471,0.492,11.12
