ProblemSize,BadHashTime,MediumHashTime,GoodHashTime
100,45597,8723,13766
500,250143,31891,41539
1000,919302,70975,86293
2500,13860058,275952,362698
5000,79409954,696526,832885
10000,314863235,1200512,1511666
