ProblemSize,MyHashTable,JavaHashMap,Ratio
1000,0.111,0.053,2.09
5000,0.550,0.097,5.69
10000,0.963,0.259,3.71
50000,5.759,1.719,3.35
100000,11.395,3.399,3.35
