N	time (ns)
1000	8.30840E4
2000	1.81709E5
3000	3.08625E5
4000	4.59583E5
5000	5.18041E5
6000	6.22292E5
7000	7.48542E5
8000	9.36250E5
9000	1.02292E6
10000	1.20562E6
11000	1.36521E6
12000	1.51721E6
13000	1.65254E6
14000	1.81483E6
15000	1.95550E6
16000	2.10208E6
17000	2.28800E6
18000	2.41596E6
19000	2.62400E6
20000	2.81279E6
