ProblemSize,MyHashTable,JavaHashMap,Ratio
1000,0.113,0.049,2.29
5000,0.472,0.126,3.76
10000,1.016,0.222,4.58
50000,6.500,1.967,3.30
100000,11.789,3.404,3.46
